Entity,Code,Year,Number of species evaluated for the IUCN Red List
All groups,,2020,128918
All groups,,2021,142577
All groups,,2022,150388
Amphibians,,2020,7166
Amphibians,,2021,7296
Amphibians,,2022,7486
Arachnids,,2020,358
Arachnids,,2021,441
Arachnids,,2022,441
Birds,,2020,11158
Birds,,2021,11162
Birds,,2022,11188
Brown algae,,2020,15
Brown algae,,2021,15
Brown algae,,2022,15
Corals,,2020,864
Corals,,2021,848
Corals,,2022,831
Crustaceans,,2020,3188
Crustaceans,,2021,3189
Crustaceans,,2022,3197
Ferns and Allies,,2020,674
Ferns and Allies,,2021,739
Ferns and Allies,,2022,747
Fishes,,2020,21415
Fishes,,2021,22581
Fishes,,2022,25351
Flowering plants,,2020,48323
Flowering plants,,2021,56232
Flowering plants,,2022,60470
Fungi and protists,,2020,423
Fungi and protists,,2021,565
Fungi and protists,,2022,640
Green algae,,2020,16
Green algae,,2021,16
Green algae,,2022,16
Gymnosperms,,2020,1016
Gymnosperms,,2021,1016
Gymnosperms,,2022,1046
Horseshoe crabs,,2020,4
Horseshoe crabs,,2021,4
Horseshoe crabs,,2022,4
Insects,,2020,10105
Insects,,2021,12100
Insects,,2022,12441
Invertebrates,,2020,24219
Invertebrates,,2021,26514
Invertebrates,,2022,26862
Lichens,,2020,55
Lichens,,2021,76
Lichens,,2022,86
Mammals,,2020,5932
Mammals,,2021,5968
Mammals,,2022,5973
Molluscs,,2020,8847
Molluscs,,2021,9019
Molluscs,,2022,9032
Mosses,,2020,282
Mosses,,2021,282
Mosses,,2022,329
Mushrooms,,2020,353
Mushrooms,,2021,474
Mushrooms,,2022,539
Other invertebrates,,2020,842
Other invertebrates,,2021,902
Other invertebrates,,2022,905
Plants,,2020,50369
Plants,,2021,58343
Plants,,2022,62666
Red algae,,2020,58
Red algae,,2021,58
Red algae,,2022,58
Reptiles,,2020,8236
Reptiles,,2021,10148
Reptiles,,2022,10222
Velvet worms,,2020,11
Velvet worms,,2021,11
Velvet worms,,2022,11
Vertebrates,,2020,53907
Vertebrates,,2021,57155
Vertebrates,,2022,60220
