"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"1980","9.77575757575757","33","4.6","16.8"
"1981","9.57424242424242","33","4.5","14.6"
"1982","8.89393939393939","33","4.9","13.9"
"1983","9.38484848484848","33","4.5","16.2"
"1984","8.63939393939394","33","4.6","13.7"
"1985","7.9590909090909","33","3.9","12.3"
"1986","8.18181818181818","33","5.2","12.6"
"1987","7.31515151515151","33","4.5","10.2"
"1988","7.20909090909091","33","4.1","10.5"
"1989","7.03939393939394","33","3.6","10.4"
"1990","6.5","33","3.5","9.7"
"1991","6.76969696969697","33","4","9.8"
"1992","6.01515151515151","33","3.3","8.1"
"1993","5.48787878787878","33","3.2","7.4"
"1994","5.75151515151515","33","2.8","8.4"
"1995","5.36666666666666","33","2.7","8.6"
"1996","4.74242424242424","33","2.7","7.3"
"1997","4.34242424242424","33","2.4","6.4"
"1998","4.23333333333333","33","2.3","6.3"
"1999","4.27878787878788","33","2.2","6.6"
"2000","3.86666666666666","33","2","5.4"
"2001","3.37878787878787","33","1.8","4.9"
"2002","3.06969696969697","33","1.8","4.4"
"2003","2.9060606060606","33","1.8","3.9"
"2004","2.79090909090909","33","1.6","3.9"
"2005","2.36060606060606","33","1.4","3.4"
"2006","2.31818181818181","33","1.4","3.1"
"2007","2.03636363636363","33","1.1","2.8"
"2008","1.83636363636363","33","1.1","2.9"
"2009","1.79696969696969","33","1.1","2.6"
"2010","1.67575757575757","33","0.9","2.4"
"2011","1.66666666666666","33","1","2.4"
"2012","1.61969696969697","33","0.8","2.3"
"2013","1.55151515151515","33","0.9","2.2"
"2014","1.57272727272727","33","1","2.4"
"2015","1.48787878787878","33","1","2"
"2016","1.37575757575757","33","0.9","1.8"
"2017","1.37575757575757","33","0.7","2.1"
"2018","1.5060606060606","33","0.8","2.5"
"2019","1.19090909090909","33","0.7","1.6"
"2020","1.76060606060606","33","0.8","1.9"
"2021","1.23333333333333","33","0.7","2"
