"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"1980","167.270967741935","31","55","271"
"1981","158.690322580645","31","55","251"
"1982","145.609677419354","31","46","250"
"1983","158.225806451612","31","63","321"
"1984","146.003225806451","31","40","280"
"1985","148.632258064516","31","58","250"
"1986","145.990322580645","31","50","258"
"1987","139.409677419354","31","60","242"
"1988","140.768817204301","31","50","220"
"1989","140.650537634408","31","47","261"
"1990","121.935483870967","31","40","188"
"1991","116.967741935483","31","30","218"
"1992","114.758064516129","31","40","181"
"1993","104.892473118279","31","40","179"
"1994","106.204301075268","31","41","169"
"1995","89.2741935483871","31","32","161"
"1996","85.1774193548387","31","28","153"
"1997","86.1612903225806","31","37","127"
"1998","86.8387096774193","31","35","143"
"1999","90.1182795698924","31","33","158"
"2000","81.010752688172","31","27","161"
"2001","84.5806451612903","31","29","151"
"2002","76.6236559139785","31","29","139"
"2003","81.1505376344086","31","29","173"
"2004","74.7096774193548","31","21","143"
"2005","76.768817204301","31","21","143"
"2006","68.9892473118279","31","24.6666666666666","138"
"2007","63.9354838709677","31","19","136"
"2008","54.9408602150537","31","20","96"
"2009","48.5639784946236","31","16","96"
"2010","42.1354838709677","31","14.4","84.3"
"2011","34.7387096774193","31","11.8","68"
"2012","32.0440860215053","31","10.6","65.4"
"2013","27.9306451612903","31","7.4","61.9"
"2014","27.768817204301","31","9","54"
"2015","23.9677419354838","31","5.5","39"
"2016","16.2451612903225","31","5.2","28"
"2017","15.1919354838709","31","3.8","29"
"2018","15.016129032258","31","4.5","20"
"2019","13.1967741935483","31","3.1","31.6"
"2020","10.6903225806451","31","4","16.4"
"2021","10.8064516129032","31","3.8","17.2"
